Year,RenewableConsumptionShare,HydroPowerConsumptionShare,WindPowerConsumptionShare,WoodFuelsConsumptionShare,OtherRenewablesConsumptionShare,FossilFuelsPeatConsumptionShare,OilConsumptionShare,CoalConsumptionShare,NaturalGasConsumptionShare,PeatConsumptionShare,OtherFossilsConsumptionShare,NuclearEnergyConsumptionShare,NetImportsConsumptionShare,OthersConsumptionShare,RenewableProductionShare,FossilFuelsPeatProductionShare,NuclearEnergyProductionShare,NetImportsProductionShare,OthersProductionShare,RenewableGenerationShare,CO2Emission,CO2EquivEmission,LifeCycleEmission
2000,24.7,3.9,0.0,20.3,0.4,53.7,26.9,11.1,10.7,4.8,0.2,17.8,3.2,0.6,28.7,28.899999999999995,27.3,15.0,0.0999999999999943,33.7,174.0,176.0,203.0
2001,22.9,3.4,0.0,19.1,0.4,56.6,26.8,12.0,11.2,6.4,0.3,17.3,2.6,0.6,25.7,34.9,26.9,12.3,0.2000000000000028,29.3,218.1,220.5,250.5
2002,23.1,2.7,0.0,20.0,0.4,56.8,26.4,12.9,10.8,6.6,0.3,16.5,3.0,0.6,22.999999999999996,37.0,25.6,14.3,0.0999999999999943,26.8,241.4,243.9,277.9
2003,22.2,2.3,0.0,19.4,0.5,60.2,25.6,16.1,11.3,6.9,0.3,15.9,1.2,0.6,21.6,46.8,25.6,5.7,0.2999999999999971,22.9,309.1,312.0,357.0
2004,24.7,3.6,0.0,20.5,0.6,57.6,25.5,14.6,11.0,6.2,0.3,16.0,1.2,0.6,28.500000000000004,40.39999999999999,25.1,5.6,0.4000000000000057,30.2,260.0,262.6,300.6
2005,25.0,3.5,0.0,20.7,0.7,52.2,26.7,9.3,10.8,5.1,0.3,17.7,4.4,0.7,26.8,26.5,26.4,20.1,0.2000000000000028,33.4,161.6,163.7,186.7
2006,24.5,2.7,0.0,21.1,0.7,56.2,24.7,14.3,10.6,6.4,0.3,16.0,2.7,0.6,24.2,38.4,24.4,12.7,0.2999999999999971,27.6,268.4,271.2,310.2
2007,24.8,3.4,0.1,20.5,0.8,55.1,25.2,12.6,9.9,7.0,0.3,16.5,3.0,0.6,26.199999999999996,34.800000000000004,24.9,13.9,0.2000000000000028,30.3,239.0,241.5,273.5
2008,27.4,4.3,0.1,21.7,1.4,51.7,24.9,9.9,10.7,6.0,0.4,17.0,3.3,0.7,31.0,28.7,25.3,14.6,0.4000000000000057,36.3,175.5,177.7,202.7
2009,25.6,3.4,0.1,20.2,1.9,52.2,24.8,11.2,10.1,5.6,0.5,18.5,3.3,0.5,26.0,31.000000000000004,27.8,14.9,0.2999999999999971,30.5,188.8,190.9,220.9
2010,26.9,3.1,0.1,21.9,1.9,53.7,23.8,12.7,10.1,6.7,0.4,16.3,2.6,0.6,26.700000000000003,36.0,25.0,12.0,0.2999999999999971,30.4,230.4,232.9,266.9
2011,28.3,3.2,0.1,22.7,2.3,50.2,23.8,10.4,9.3,6.1,0.5,17.4,3.6,0.6,27.7,28.9,26.4,16.4,0.5999999999999943,33.2,188.7,191.2,219.2
2012,31.3,4.4,0.1,24.0,2.7,46.1,23.4,8.9,8.4,4.8,0.6,17.5,4.6,0.6,32.6,20.5,25.9,20.5,0.5,40.9,131.0,133.0,154.0
2013,31.1,3.3,0.2,24.6,3.0,46.2,22.5,11.0,7.8,4.2,0.7,18.0,4.1,0.6,29.5,24.3,27.0,18.7,0.5,36.3,166.7,168.9,196.9
2014,33.0,3.5,0.3,25.1,4.1,43.3,21.5,9.3,7.1,4.5,0.8,18.3,4.8,0.6,30.499999999999996,20.2,27.2,21.5,0.5999999999999943,38.9,140.6,142.7,165.7
2015,34.7,4.6,0.6,25.2,4.2,41.7,22.5,7.8,6.3,4.4,0.8,18.6,4.5,0.6,36.0,16.7,27.1,19.8,0.4000000000000057,44.9,104.9,106.7,123.7
2016,34.3,4.1,0.8,25.7,3.6,42.3,22.7,9.3,5.3,4.1,0.8,17.9,5.0,0.6,34.8,16.5,26.2,22.3,0.2000000000000028,44.7,114.2,116.1,134.1
2017,36.4,3.9,1.3,26.8,4.5,40.2,22.0,8.4,4.9,4.0,0.9,17.4,5.4,0.6,35.900000000000006,14.5,25.2,23.9,0.5,47.2,100.3,102.1,118.1
2018,36.6,3.4,1.5,27.2,4.5,40.3,21.2,8.3,5.5,4.5,0.9,17.3,5.2,0.6,35.699999999999996,16.2,25.0,22.8,0.2999999999999971,46.3,113.5,115.5,132.5
2019,37.6,3.2,1.6,27.9,4.8,38.2,21.1,6.7,5.4,4.2,0.9,18.4,5.3,0.6,35.99999999999999,13.9,26.6,23.3,0.2000000000000028,46.9,87.1,89.0,103.0
2020,39.3,4.4,2.2,27.8,4.9,36.6,21.0,5.5,5.9,3.4,0.9,19.1,4.3,0.7,42.599999999999994,11.4,27.4,18.5,0.0999999999999943,52.2,67.7,69.2,81.2
2021,42.1,4.1,2.2,29.6,6.2,34.3,18.9,6.2,5.5,2.8,0.9,18.2,4.7,0.7,42.3,10.900000000000002,26.0,20.4,0.4000000000000057,53.2,75.3,77.1,89.1
2022,41.6,3.7,3.2,28.4,6.3,33.8,20.5,6.4,3.1,2.8,1.0,20.4,3.5,0.6,45.7,9.1,29.7,15.3,0.2000000000000028,54.0,65.8,67.5,78.5
